customer_id,first_name,last_name,email,phone,address,city,state,zip_code,country,registration_date
1,Daniel,Figueroa,jeffreydoyle@example.net,001-581-896-0013x3890,9402 Peterson Drives,Port Matthew,Colorado,50298,Bhutan,2024-05-11
2,Melanie,Munoz,blairamanda@example.com,584-695-9310,16475 Mitchell Fords,Jacquelineland,Rhode Island,83728,Chile,2023-10-06
3,Jessica,Martin,onelson@example.net,+1-335-503-0564,76724 John Points Suite 969,Coxberg,North Carolina,65187,Bermuda,2024-02-19
4,Brandon,Rodriguez,laurahenderson@example.org,(669)878-4801x8451,0482 Monica Hills,East Nathaniel,Hawaii,71198,Zimbabwe,2024-08-10
5,Sandra,Sellers,tracy15@example.com,403.491.1718,248 Brandt Plains Apt. 465,Lammouth,Delaware,32994,Czech Republic,2024-08-27
6,Matthew,Chapman,briannasmith@example.net,+1-403-910-5183x4738,6311 Gomez Loop,Shieldston,Utah,86150,Oman,2023-02-19
7,Bruce,Chandler,wrightjames@example.com,(362)247-3178,32677 Michelle Circle,South Aaron,Missouri,35261,Vanuatu,2023-03-18
8,Kristen,Mitchell,smoore@example.org,4982050097,19136 Shelly Port,New Brooke,South Carolina,11246,Italy,2024-09-01
9,Brandy,Mills,james53@example.com,(524)675-1079x9118,1354 Samuel Plains,Cherylhaven,Alabama,88039,Svalbard & Jan Mayen Islands,2024-05-25
10,Kevin,Alvarado,josephpreston@example.net,+1-924-649-3534,64005 Dana Greens,Lake Scott,Virginia,56558,Monaco,2024-03-06
11,Daniel,Landry,amydavenport@example.net,+1-526-520-4505,8692 Michelle Union,South Angel,West Virginia,44041,Slovenia,2023-01-08
12,Leah,Shields,josephcobb@example.org,(707)633-7543x3036,5868 Crosby Crescent,Gregoryview,Arizona,14709,Nepal,2023-11-16
13,Michael,Hartman,gobrien@example.org,(793)740-6088x3561,484 Nguyen Square,Angelaborough,Nebraska,87654,Wallis and Futuna,2023-12-04
14,Erica,Orr,richard04@example.com,969.495.7773,8951 Emily Fork,East Andrew,Kansas,62778,New Zealand,2023-10-22
15,Kayla,Gibson,jennifercruz@example.com,220.516.3287,2788 Dodson Mills,Rivasside,New Hampshire,21362,Samoa,2024-10-22
16,Thomas,Green,maryramirez@example.net,434.571.4345x5812,231 Russell Plains Suite 603,Priceshire,Vermont,03061,Togo,2024-10-31
17,Kathy,James,benderkenneth@example.com,(488)993-7346x70656,806 Christopher Meadow,Port Steven,Arkansas,34600,Hong Kong,2024-11-15
18,Jason,Murphy,aramirez@example.com,270-580-5310,92327 Anne Forge,Lyonsstad,Hawaii,79916,New Caledonia,2023-09-12
19,Jennifer,Strickland,tamirodriguez@example.org,296-763-1931x4919,518 Smith Manor Suite 165,Zimmermanchester,Idaho,96681,Mali,2024-08-03
20,Joseph,Morton,umarshall@example.net,253-914-7379x965,73545 Beard Squares Suite 808,North John,Nebraska,64539,Moldova,2024-05-20
21,John,Alvarez,bwest@example.org,736-734-9578x8568,4431 Leslie Summit Apt. 337,Jennyhaven,Rhode Island,37594,Bolivia,2024-08-11
22,James,Perez,kevinerickson@example.org,900-984-2710x947,04711 Vasquez Ports Apt. 229,Christopherbury,Delaware,73648,Serbia,2024-10-08
23,Catherine,Gibbs,kimberlyjames@example.com,496-549-9091x3341,120 Hayes Ranch,Carterbury,Maine,93163,Finland,2023-11-20
24,Michele,Jones,sandrafrench@example.net,001-336-218-3242,9947 Taylor Hollow,Benderhaven,Ohio,65223,Kazakhstan,2024-06-30
25,Carly,Preston,cassandra01@example.org,+1-899-904-9027x87429,5655 Mia Isle,Steeleport,Texas,52989,Suriname,2023-03-04
26,Andrea,Gibson,johnny16@example.net,9879603859,48247 Martinez Roads,Lake Eric,Oklahoma,02293,Micronesia,2024-08-13
27,Christopher,Gay,murraydavid@example.org,448.346.7737x8263,5840 Barber Villages Suite 278,Reedside,Wisconsin,71729,Honduras,2023-11-13
28,Sarah,Kane,ashleyhall@example.com,7573662702,87026 Charles Tunnel Suite 596,Port Markside,Missouri,42006,Niue,2023-12-20
29,Paige,Freeman,williamsonjimmy@example.net,631-761-1724x0050,2386 George Common Suite 937,East Steven,Kentucky,60737,Equatorial Guinea,2024-07-12
30,Albert,Ballard,erica21@example.com,(894)764-7436x713,406 Smith Way Apt. 974,New Laurie,Iowa,83943,Comoros,2024-06-01
31,John,Campos,courtneyberger@example.net,7478095214,28588 Rivas Glens,Coffeyport,West Virginia,44897,Spain,2024-04-27
32,Taylor,Jones,michelleramsey@example.com,+1-751-660-4817,513 Johnson Points Suite 931,Blankenshipport,Tennessee,54017,Brazil,2023-03-31
33,Brandon,Johnson,pwilson@example.net,(367)958-6926,0537 Sampson Walk Suite 158,Bruceview,Illinois,16512,Yemen,2023-04-19
34,Madison,Davis,darleneharper@example.org,5535293183,90422 Lindsey Creek Apt. 205,New Mario,Idaho,35283,Austria,2024-10-20
35,Judy,Fox,alvarezkimberly@example.net,001-917-283-9084,6617 Jones Common,Charleneland,Florida,36547,Nigeria,2023-04-09
36,Brenda,Joseph,hvang@example.com,789.961.1836x736,1565 Brooks Drives Suite 111,South Colinstad,Florida,73425,Bahamas,2024-05-06
37,Sue,Hoffman,jenkinsmorgan@example.com,001-304-794-5198x3273,49368 Chelsea Shoals Suite 024,Sandrastad,Alabama,24278,Trinidad and Tobago,2024-03-31
38,Ashley,Morales,joycebonilla@example.org,001-383-266-7525x4599,90147 Tucker Mills,Nelsonhaven,Delaware,45743,Jersey,2023-04-22
