order_id,order_date,customer_name,product_name,quantity,subtotal,status
1967,2024-11-29,Patrick Gilbert,Implemented zero tolerance Graphical User Interface,2,89.52,Cancelled
1967,2024-11-29,Patrick Gilbert,Progressive homogeneous encryption,4,1408.12,Cancelled
1861,2024-11-29,Joseph Lambert,Sharable maximized frame,5,963.0,Delivered
1740,2024-11-29,Jennifer Mooney,Reverse-engineered real-time initiative,5,1053.35,Processing
1740,2024-11-29,Jennifer Mooney,Fundamental mobile open system,3,112.53,Processing
1740,2024-11-29,Jennifer Mooney,Polarized intangible success,5,1071.95,Processing
1740,2024-11-29,Jennifer Mooney,Stand-alone exuding methodology,4,477.88,Processing
1554,2024-11-29,Joseph Lambert,Organic 5thgeneration circuit,1,336.51,Delivered
1554,2024-11-29,Joseph Lambert,Virtual real-time matrices,2,939.84,Delivered
1554,2024-11-29,Joseph Lambert,Vision-oriented maximized matrices,4,940.12,Delivered
1481,2024-11-29,Jacob Curtis,Self-enabling actuating firmware,4,817.2,Shipped
1481,2024-11-29,Jacob Curtis,Organic systemic functionalities,5,2377.6,Shipped
1464,2024-11-29,Katherine Haney,Mandatory didactic system engine,2,134.5,Delivered
1464,2024-11-29,Katherine Haney,Ameliorated multi-tasking Graphic Interface,4,134.68,Delivered
1219,2024-11-29,Joseph Lambert,Fundamental impactful projection,5,1987.5,Delivered
1097,2024-11-29,Ronald Thomas,Enterprise-wide multimedia intranet,3,367.26,Cancelled
1097,2024-11-29,Ronald Thomas,Focused web-enabled pricing structure,2,583.12,Cancelled
1097,2024-11-29,Ronald Thomas,Organic secondary middleware,2,170.88,Cancelled
1023,2024-11-29,Joseph Lambert,Organic multi-tasking pricing structure,5,1234.1,Processing
1023,2024-11-29,Joseph Lambert,Visionary uniform contingency,4,1697.6,Processing
1023,2024-11-29,Joseph Lambert,Fundamental impactful projection,5,1987.5,Processing
962,2024-11-29,Amber Ellison,Virtual leadingedge neural-net,5,1316.3,Processing
852,2024-11-29,Joseph Lambert,Synergized discrete function,1,478.86,Shipped
852,2024-11-29,Joseph Lambert,Persevering foreground contingency,4,484.92,Shipped
690,2024-11-29,Joseph Lambert,Multi-tiered local extranet,1,341.84,Cancelled
618,2024-11-29,Joseph Lambert,Persevering foreground contingency,3,363.69,Pending
618,2024-11-29,Joseph Lambert,Team-oriented static Graphic Interface,1,262.36,Pending
578,2024-11-29,Garrett Valdez,Switchable human-resource forecast,5,1481.4,Processing
578,2024-11-29,Garrett Valdez,Reverse-engineered bottom-line firmware,3,1230.36,Processing
447,2024-11-29,Curtis Bullock,Cloned analyzing application,4,366.64,Shipped
447,2024-11-29,Curtis Bullock,Innovative zero administration attitude,1,341.18,Shipped
447,2024-11-29,Curtis Bullock,Enterprise-wide contextually-based moratorium,3,1131.72,Shipped
357,2024-11-29,Patty Wright,Reduced asynchronous solution,1,402.93,Cancelled
357,2024-11-29,Patty Wright,Seamless encompassing application,4,1316.32,Cancelled
193,2024-11-29,Tyler Delgado,Multi-tiered value-added archive,2,246.42,Cancelled
193,2024-11-29,Tyler Delgado,Synchronized neutral capacity,3,479.1,Cancelled
184,2024-11-29,Ryan Travis,Enterprise-wide analyzing system engine,3,732.99,Pending
184,2024-11-29,Ryan Travis,Self-enabling radical moderator,1,19.29,Pending
112,2024-11-29,Melissa Perry,Inverse contextually-based archive,1,220.21,Cancelled
112,2024-11-29,Melissa Perry,Reverse-engineered multimedia artificial intelligence,3,407.73,Cancelled
1989,2024-11-28,Thomas Smith,Reduced exuding adapter,3,699.81,Processing
1989,2024-11-28,Thomas Smith,Streamlined maximized info-mediaries,1,382.55,Processing
1989,2024-11-28,Thomas Smith,Down-sized needs-based superstructure,1,50.21,Processing
1989,2024-11-28,Thomas Smith,Synchronized neutral capacity,2,319.4,Processing
1989,2024-11-28,Thomas Smith,Ameliorated radical budgetary management,3,577.98,Processing
1924,2024-11-28,Robert Boyer,Configurable secondary knowledgebase,2,434.82,Shipped
1592,2024-11-28,Laura Hernandez,Optimized national capability,4,49.24,Cancelled
1581,2024-11-28,Sharon Mccormick,Configurable static access,4,1525.52,Delivered
1581,2024-11-28,Sharon Mccormick,Intuitive modular model,2,387.22,Delivered
1560,2024-11-28,Susan Dyer,Balanced homogeneous ability,4,1448.16,Processing
1560,2024-11-28,Susan Dyer,Phased uniform complexity,5,725.4,Processing
1560,2024-11-28,Susan Dyer,Grass-roots grid-enabled paradigm,2,285.7,Processing
1547,2024-11-28,Tracey Juarez,Cloned analyzing application,4,366.64,Processing
1547,2024-11-28,Tracey Juarez,Profit-focused reciprocal model,4,808.32,Processing
1547,2024-11-28,Tracey Juarez,Configurable secondary knowledgebase,5,1087.05,Processing
1547,2024-11-28,Tracey Juarez,Ameliorated 24/7 complexity,4,1555.88,Processing
1413,2024-11-28,Tara Simpson,Virtual well-modulated projection,2,337.58,Pending
1413,2024-11-28,Tara Simpson,Realigned multimedia artificial intelligence,2,560.7,Pending
1413,2024-11-28,Tara Simpson,Public-key homogeneous utilization,2,765.86,Pending
1401,2024-11-28,Tammy Fitzgerald,Open-source impactful policy,2,33.42,Processing
1401,2024-11-28,Tammy Fitzgerald,Intuitive bottom-line portal,1,164.55,Processing
1330,2024-11-28,Tammy Fitzgerald,Virtual background synergy,3,419.43,Shipped
1330,2024-11-28,Tammy Fitzgerald,Inverse fresh-thinking forecast,4,589.52,Shipped
1330,2024-11-28,Tammy Fitzgerald,Triple-buffered homogeneous Internet solution,3,186.03,Shipped
1300,2024-11-28,Ryan Travis,Universal system-worthy protocol,3,940.53,Shipped
1300,2024-11-28,Ryan Travis,Self-enabling cohesive Internet solution,5,1457.25,Shipped
1300,2024-11-28,Ryan Travis,Assimilated zero administration secured line,1,282.88,Shipped
1300,2024-11-28,Ryan Travis,Front-line national interface,2,863.08,Shipped
1261,2024-11-28,Russell Castro,Synchronized neutral capacity,1,159.7,Pending
1261,2024-11-28,Russell Castro,Monitored local hierarchy,5,2491.65,Pending
1244,2024-11-28,Benjamin Smith,Progressive even-keeled hierarchy,1,369.19,Pending
1244,2024-11-28,Benjamin Smith,Fully-configurable methodical support,2,821.1,Pending
1196,2024-11-28,Mark Hart,Virtual upward-trending flexibility,2,157.5,Pending
1196,2024-11-28,Mark Hart,Triple-buffered homogeneous Internet solution,5,310.05,Pending
1154,2024-11-28,Christopher Smith,Integrated dynamic migration,1,178.23,Cancelled
1154,2024-11-28,Christopher Smith,Ameliorated multi-tasking Graphic Interface,3,101.01,Cancelled
1154,2024-11-28,Christopher Smith,Front-line dynamic application,4,1811.6,Cancelled
1154,2024-11-28,Christopher Smith,Integrated well-modulated secured line,1,133.3,Cancelled
1115,2024-11-28,Paul Cox,Organized full-range groupware,2,592.64,Cancelled
1115,2024-11-28,Paul Cox,Cloned interactive productivity,5,713.0,Cancelled
924,2024-11-28,Garrett Valdez,Inverse 24hour firmware,4,1038.92,Pending
924,2024-11-28,Garrett Valdez,Robust optimal moratorium,4,1916.76,Pending
924,2024-11-28,Garrett Valdez,Ergonomic value-added benchmark,5,1606.35,Pending
716,2024-11-28,Benjamin Smith,User-centric disintermediate solution,2,718.86,Processing
684,2024-11-28,Jimmy Jackson,Expanded mission-critical process improvement,2,731.26,Pending
684,2024-11-28,Jimmy Jackson,Stand-alone 3rdgeneration forecast,3,1310.55,Pending
684,2024-11-28,Jimmy Jackson,Business-focused system-worthy forecast,4,1375.52,Pending
684,2024-11-28,Jimmy Jackson,Organic hybrid architecture,3,262.05,Pending
684,2024-11-28,Jimmy Jackson,Open-source tangible process improvement,5,1014.15,Pending
629,2024-11-28,Melissa Perry,Right-sized actuating database,1,78.55,Delivered
629,2024-11-28,Melissa Perry,Enhanced non-volatile projection,2,678.22,Delivered
629,2024-11-28,Melissa Perry,Synergistic asymmetric protocol,4,1361.16,Delivered
629,2024-11-28,Melissa Perry,Fundamental mobile open system,5,187.55,Delivered
554,2024-11-28,Madison Davis,User-centric 6thgeneration hardware,3,775.83,Shipped
554,2024-11-28,Madison Davis,Multi-tiered bandwidth-monitored frame,5,2183.6,Shipped
554,2024-11-28,Madison Davis,Public-key homogeneous utilization,5,1914.65,Shipped
479,2024-11-28,Benjamin Smith,Realigned multimedia artificial intelligence,2,560.7,Shipped
454,2024-11-28,Adam Lynch,Assimilated responsive moratorium,5,1392.5,Processing
454,2024-11-28,Adam Lynch,Self-enabling responsive contingency,2,663.82,Processing
454,2024-11-28,Adam Lynch,Switchable transitional task-force,4,247.24,Processing
