customer_id,customer_name,email,total_orders,total_revenue
677,Robert Jones,hartmancrystal@example.net,7,20203.14
284,Kimberly Shepherd,jacquelineyoung@example.org,5,17180.75
776,John Anderson,katie76@example.com,7,17178.32
461,Gregory Hammond,hfloyd@example.org,6,16837.62
450,Lisa Mcgee,wbarrett@example.net,5,16788.19
771,Ashley Terry,vperez@example.com,4,16138.88
515,Ryan Travis,anthonymcdonald@example.net,7,15284.85
260,Katie Robinson,elizabeth12@example.net,5,15187.0
13,Michael Hartman,gobrien@example.org,6,14957.34
873,Jennifer Bernard,dholland@example.org,5,14884.75
308,Janice Roberts,daviswesley@example.net,5,14683.33
58,Erica Dillon,chelsea33@example.com,4,14607.12
562,Samantha Webb,jessicajones@example.org,5,14169.47
929,Steven Johnson,harmonlucas@example.org,3,14015.28
424,Eric Benson,jenniferbarry@example.net,6,14003.92
393,John Thomas,zlopez@example.org,8,13658.75
885,Douglas Fuentes,james75@example.org,5,13641.99
458,Patty Wright,gary91@example.net,5,13447.87
398,Rachel Brown,shernandez@example.net,5,12739.72
821,Damon Reed,joseph05@example.org,4,12694.0
